,timestamp,timestamp_str,fix_type,latitude,latitude_processed,longitude,longitude_processed,altitude,velocity,speed,acceleration_vector,acceleration_magnitude,horizontal_accuracy,vertical_accuracy,speed_accuracy
658,1731854832,Sun Nov 17 09:47:11 2024,2,40.44064786,,-79.9420182,,295.9198,"[-0.019898373395866694, -0.11082353556221061]",0.2518694705,"[-0.9059414527754241, -1.1419883725441684]",1.457692477,,,
659,1731854832,Sun Nov 17 09:47:12 2024,4,40.44064777,,-79.94201823,,295.8785,"[0.027819552089486964, -0.03834031413041424]",0.1059634285,"[0.528610131182076, 0.6646942975855759]",0.8492627273,,,
660,1731854832,Sun Nov 17 09:47:12 2024,4,40.44064775,,-79.94201817,,295.8736,"[0.04384473709161709, -0.025523330281432766]",0.113485682,"[0.8595786357613594, -0.25171126618511996]",0.8956751602,,,
661,1731854832,Sun Nov 17 09:47:12 2024,4,40.44064772,,-79.94201812,,295.8687,"[0.005178222712626201, -0.01800377513956223]",0.04190599206,"[-1.393185762203861, 1.488572081565045]",2.038826479,,,
662,1731854832,Sun Nov 17 09:47:12 2024,4,40.44064774,,-79.94201816,,295.8364,"[-0.032811209366734345, 0.003772190289944482]",0.07388003541,"[0.006007960190349833, -0.009882711029522068]",0.01156561987,,,
663,1731854832,Sun Nov 17 09:47:12 2024,4,40.44064773,,-79.9420182,,295.8046,"[-0.0337870796216748, -0.01822906072210199]",0.08587810868,"[-0.4121890746189472, -0.6694252415210785]",0.7861488327,,,
664,1731854833,Sun Nov 17 09:47:12 2024,4,40.4406477,,-79.94201824,,295.7736,"[-0.035291642742967866, -0.031465761634456975]",0.1057669659,"[0.6623570119660513, 2.7090326524456807]",2.78883035,,,
665,1731854833,Sun Nov 17 09:47:12 2024,4,40.44064769,,-79.94201826,,295.7379,"[-0.014676189745988007, -0.10578199797501504]",0.2388940998,"[1.9542981495521337, -5.2861949385222315]",5.63587954,,,
666,1731854833,Sun Nov 17 09:47:12 2024,4,40.44064748,,-79.94201826,,295.704,"[-0.0524324155892314, -0.21668427584785582]",0.4986974448,"[-3.072892052423546, 1.049568025503607]",3.247192419,,,
667,1731854833,Sun Nov 17 09:47:12 2024,4,40.4406473,,-79.94201841,,295.6691,"[-0.10820669879206457, -0.23299027236136197]",0.5746494696,"[-0.4823474151602735, -5.320859492622082]",5.342677678,,,
